Feature_Set,Num_Features,CV_AUC_Mean,CV_AUC_Std,Test_AUC,Precision_0.5,Recall_0.5,F1_0.5,Optimal_Threshold,Precision_Opt,Recall_Opt,Missed_Defaults_Opt,Total_Cost_Opt,Net_Savings
All Features,67,0.7456983987993648,0.003578307505413101,0.755587980705352,0.2299043062200957,0.48806500761808025,0.3125711497804521,0.0,0.08078943049400952,1.0,0,22403000,597832000
Top 50,50,0.744984436056939,0.004819374704167925,0.7565981026220664,0.23377581120943952,0.4829862874555612,0.31505714758986253,0.0,0.08078943049400952,1.0,0,22403000,597832000
Top 40,40,0.7496295639735495,0.005829797078401495,0.7542894873213014,0.22733847637415622,0.47892331132554594,0.30832107242112144,0.0,0.08078943049400952,1.0,0,22403000,597832000
Top 30,30,0.7467809216713253,0.0051997712526929965,0.750231589231354,0.22135358498994862,0.5033011681056374,0.30747750542972385,0.0,0.08078943049400952,1.0,0,22403000,597832000
Top 20,20,0.7442505444778833,0.004197961341031822,0.7443396912284136,0.2073048364439093,0.5246317927882174,0.297180667433832,0.0,0.08078943049400952,1.0,0,22403000,597832000
Top 10,10,0.736532551340593,0.00735563967640695,0.7386141897169824,0.18311874105865522,0.585068562722194,0.27893462469733654,0.0,0.08078943049400952,1.0,0,22403000,597832000
Top 5,5,0.7066277726791723,0.007784677206473587,0.6999012298536977,0.14804433685819848,0.5901472828847131,0.23670808718679975,0.0,0.08078943049400952,1.0,0,22403000,597832000
Remove Bottom 20,47,0.7473016343757547,0.004232188326613712,0.7496358263162489,0.23097626620993394,0.47943118334179785,0.31175693527080584,0.0,0.08078943049400952,1.0,0,22403000,597832000
Remove Bottom 30,37,0.7466333296453305,0.004748230950234228,0.7513100379907675,0.2337442591249698,0.49111223971559165,0.3167376351130036,0.0,0.08078943049400952,1.0,0,22403000,597832000
