Model,SMOTE_Config,Train_Size,Train_Ratio,AUC,Precision_0.5,Recall_0.5,F1_0.5,Cost_0.5,Missed_Defaults_0.5,Optimal_Threshold,Precision_Opt,Recall_Opt,F1_Opt,Cost_Opt,Missed_Defaults_Opt,Cost_Reduction,Net_Savings
Logistic Regression,No SMOTE,97484,11.4:1,0.7328397780651656,0.4166666666666667,0.007618080243778568,0.014962593516209476,615531000,1954,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,593128000,597832000
Logistic Regression,SMOTE 1:1,179216,1.0:1,0.7298369674833372,0.1549725442342892,0.6449974606399187,0.24990161353797719,227110000,699,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,204707000,597832000
Logistic Regression,SMOTE 2:1,134412,2.0:1,0.7306147123923923,0.21434770031819497,0.37633316404266126,0.27312937707335055,389536000,1228,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,367133000,597832000
Logistic Regression,SMOTE 5:1,107529,5.0:1,0.731928813948705,0.3298611111111111,0.09649568308786186,0.14931237721021612,560771000,1779,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,538368000,597832000
XGBoost,No SMOTE,97484,11.4:1,0.7583254750285453,0.543010752688172,0.051295073641442354,0.09373549883990719,588505000,1868,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,566102000,597832000
XGBoost,SMOTE 1:1,179216,1.0:1,0.6779296159616582,0.11186520009361105,0.7282884713052311,0.1939410332702191,179910000,535,0.006006006006006006,0.08096882967349289,1.0,0.14980788983147564,22349000,0,157561000,597886000
XGBoost,SMOTE 2:1,134412,2.0:1,0.6740537565402152,0.1387739751786386,0.5622143219908583,0.22260205107580938,278400000,862,0.003003003003003003,0.0810188042628482,1.0,0.14989342265529843,22334000,0,256066000,597901000
XGBoost,SMOTE 5:1,107529,5.0:1,0.6999838500189985,0.17543442037610094,0.3743016759776536,0.23889789303079417,391544000,1232,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,369141000,597832000
LightGBM,No SMOTE,97484,11.4:1,0.7592288107499932,0.4666666666666667,0.014220416455053326,0.02759980285855101,611447000,1941,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,589044000,597832000
LightGBM,SMOTE 1:1,179216,1.0:1,0.6701841086499266,0.1299488764712876,0.5551041137633317,0.21059730250481695,283258000,876,0.0,0.08078943049400952,1.0,0.14950077825443225,22403000,0,260855000,597832000
LightGBM,SMOTE 2:1,134412,2.0:1,0.6784096947764672,0.15974818020853826,0.41239207719654647,0.23028927963698242,368726000,1157,0.007007007007007007,0.08080269205515431,1.0,0.1495234840718381,22399000,0,346327000,597836000
LightGBM,SMOTE 5:1,107529,5.0:1,0.7012920914263936,0.2182296231375986,0.2529202640934485,0.23429781227946367,465149000,1471,0.006006006006006006,0.08083254649205632,1.0,0.14957459738681253,22390000,0,442759000,597845000
